Alkaline-earth metals,碱土金属
Ammonia*,氨
Anhydrous ammonia,无水氨
Antimony,锑
Argon,氩
Arsenic,砷
Astatine,砹
Nitrogen,氮
Nitrous oxide,一氧化二氮
Barium,钡
Bismuth,铋
Carbon,碳
Cassiopium [lutetium],镥
Lutetium [cassiopium],镥
Cerium,铈
Caesium,铯
Chlorine,氯气
Dysprosium,镝
Erbium,铒
Europium,铕
Flowers of sulfur for chemical purposes,化学用硫华
Fluorine,氟
Graphite for industrial purposes,工业用石墨
Gadolinium,钆
Gallium,镓
Protective gases for welding,焊接用保护气体
Solidified gases for industrial purposes,工业用固态气体
Dry ice [carbon dioxide],干冰(二氧化碳)
Helium,氦
Holmium,钬
Hydrogen,氢
Iodine for chemical purposes,化学用碘
Iodine for industrial purposes,工业用碘
Krypton,氪
Lanthanum,镧
Lithium,锂
Mercury,汞
Metalloids,准金属
Neodymium,钕
Neon,氖
Oxygen,氧
Phosphorus,磷
Potassium,钾
Praseodymium,镨
Radon,氡
Rhenium,铼
Rubidium,铷
Samarium,钐
Scandium,钪
Selenium,硒
Silicon,硅
Sodium,钠
Sulfur,硫磺
Strontium,锶
Technetium,锝
Tellurium,碲
Terbium,铽
Rare earths,稀土
Thallium,铊
Thulium,铥
Xenon,氙
Ytterbium,镱
Yttrium,钇
Alkaline metals,碱金属
Bromine for chemical purposes,化学用溴
Liquid sulfur dioxide,液体二氧化硫
Sulfur trioxide,三氧化硫
Liquid carbon dioxide,液体二氧化碳
Calcium,钙
Industrial silicon,工业硅
Crystal silicon,结晶硅
Sponge palladium,海绵钯
Acetates [chemicals]*,醋酸盐(化学品)
Acetic anhydride,醋酸酐
Acetone,丙酮
Acetylene,乙炔
Acetylene tetrachloride,四氯乙烷
Acids*,酸
Agar-agar,琼脂
"Albumin [animal or vegetable, raw material]",动植物白朊(原料)
Iodised albumen,碘化蛋白
Malt albumen,麦芽蛋白
Alkalies,碱
Caustic alkali,苛性碱
Alcohol*,酒精
